10.907	5.919
11.03123	6.692593
10.85477	7.329081
10.5091	7.917
10.11618	8.52115
9.50015	9.155178
9.031	9.499102
8.276081	9.65977
7.758593	9.857231
6.9	10.008
6.240407	9.957231
5.664919	9.80077
4.916	9.416102
4.44285	8.979178
4.031822	8.64315
3.554898	8.004
3.21123	7.433081
3.083769	6.643593
3.095	5.918
3.160769	5.207407
3.17623	4.627919
3.599898	3.989
3.891822	3.40985
4.44585	2.915822
4.961	2.504898
5.698919	2.19623
6.206407	2.002769
6.953	1.94
7.756593	1.999769
8.381081	2.31023
8.95	2.493898
9.58915	2.872822
10.10318	3.47785
10.5591	4.003
10.80777	4.628919
10.99023	5.344407
