11.009	6.048
10.88123	6.763593
10.80877	7.356081
10.5461	8.087
10.12418	8.53215
9.53815	8.996178
9.041	9.369102
8.419081	9.68177
7.723593	9.854231
7.051	9.919
6.392407	9.850231
5.648919	9.73777
4.941	9.389102
4.39885	9.092178
3.854822	8.52715
3.528898	8.097
3.33623	7.270081
2.987769	6.758593
2.978	6.068
3.122769	5.277407
3.27223	4.708919
3.469898	4.076
3.917822	3.50585
4.47885	3.002822
4.941	2.473898
5.710919	2.27623
6.261407	2.013769
7.097	2.003
7.653593	1.973769
8.351081	2.14423
8.905	2.566898
9.66215	2.849822
10.13218	3.50585
10.4311	3.904
10.72977	4.722919
10.96623	5.346407
