6.9200	6.0230	10.9340
6.9770	6.0960	10.9480
6.9830	6.0260	11.0200
7.0760	6.0850	10.9670
7.0560	6.0010	11.0320
6.9760	5.9900	11.0560
8.1213	5.9430	10.9347
7.5106	6.9546	10.9427
6.5394	6.8876	10.8667
5.9247	6.0040	10.8587
6.5654	5.1964	10.8807
7.6076	5.1714	10.9367
9.0160	5.9050	10.5041
7.9740	7.7701	10.4741
6.0860	7.6381	10.3941
4.9350	5.9080	10.4971
6.0740	4.2729	10.5131
8.0040	4.2439	10.5091
9.8704	5.9200	9.7284
8.4982	8.4225	9.9004
5.5198	8.4975	9.8984
4.0996	5.9770	9.7444
5.5508	3.5875	9.7894
8.4612	3.4995	9.8334
10.4011	6.0440	9.0790
8.6651	8.9570	8.9010
5.2889	9.0820	9.0630
3.5869	5.9900	9.0130
5.1869	2.9870	8.9750
8.7191	2.9510	9.0530
10.9047	6.0060	8.1303
8.9499	9.4291	8.1133
5.1191	9.2501	8.0803
3.2103	5.9880	8.0233
5.1321	2.5579	8.0323
9.0009	2.7429	7.9623
10.9900	6.0150	6.9840
9.0460	9.3981	7.0770
5.0940	9.3751	7.0150
2.9120	5.9750	7.0440
4.9060	2.4579	7.0020
9.0400	2.5799	6.9900
