6.9550	5.9250	11.0610
7.0690	6.0470	11.0880
6.9680	6.0990	11.0800
7.0080	5.9320	10.9530
6.9090	5.9250	11.0980
7.0440	6.0140	10.9620
8.1013	5.9270	10.8417
7.4736	6.9866	10.9137
6.4094	6.8556	10.9287
6.0187	5.9780	10.9327
6.4794	5.1314	10.9487
7.4246	5.0314	10.8037
8.9650	5.9320	10.5121
7.9290	7.7061	10.4301
6.0970	7.8101	10.5431
5.0190	5.9830	10.4751
6.0710	4.2749	10.5501
8.0450	4.2379	10.3751
9.7374	6.0540	9.7704
8.3362	8.3545	9.9064
5.6268	8.4545	9.8004
4.1706	5.9260	9.7894
5.6268	3.4975	9.8484
8.3422	3.6145	9.7404
10.5071	5.9270	8.9100
8.8081	8.9880	9.0450
5.3259	8.9240	8.9240
3.4769	6.0760	9.0310
5.2339	2.9370	9.0110
8.6481	2.9910	9.0670
10.9547	6.0870	8.1323
8.9619	9.3131	8.0533
5.0791	9.2791	8.0543
3.0773	6.0500	7.9353
4.9801	2.6609	8.0923
8.9719	2.7319	7.9883
10.9510	5.9370	6.9350
9.0120	9.4721	7.0750
4.9740	9.4041	6.9580
3.0250	6.0790	7.0180
5.0290	2.4549	6.9850
9.0520	2.4739	6.9060
